id,title,description,price,category,image_url,image_matches_text,label
84,Unbelievable Deal on Wrench Set - Pay Only Shipping,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Hand Tools,https://source.unsplash.com/800x600/?win,0,1
54,Unbelievable Deal on Hammer - Pay Only Shipping,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Hand Tools,https://source.unsplash.com/800x600/?gift%20card,0,1
71,FREE SCAFFOLD GIVEAWAY - Click to Claim,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,1,Construction,https://source.unsplash.com/800x600/?vacation,0,1
46,Scaffold for Rent - Excellent Condition,Well-maintained scaffold available for rent. Suitable for home or professional use. Daily price: 17. Delivery possible. Contact to reserve.,40,Construction,https://source.unsplash.com/800x600/?scaffold,1,0
45,Lawn Mower for Rent - Excellent Condition,Well-maintained lawn mower available for rent. Suitable for home or professional use. Daily price: 24. Delivery possible. Contact to reserve.,56,Garden Tools,https://source.unsplash.com/800x600/?lawn%20mower,1,0
40,Paint Sprayer for Rent - Excellent Condition,Well-maintained paint sprayer available for rent. Suitable for home or professional use. Daily price: 43. Delivery possible. Contact to reserve.,74,Other,https://source.unsplash.com/800x600/?paint%20sprayer,1,0
23,Paint Sprayer for Rent - Excellent Condition,Well-maintained paint sprayer available for rent. Suitable for home or professional use. Daily price: 81. Delivery possible. Contact to reserve.,38,Other,https://source.unsplash.com/800x600/?paint%20sprayer,1,0
81,Win an Luxury Watch when you rent this garden shredder,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Garden Tools,https://source.unsplash.com/800x600/?bitcoin,0,1
11,Circular Saw for Rent - Excellent Condition,Well-maintained circular saw available for rent. Suitable for home or professional use. Daily price: 58. Delivery possible. Contact to reserve.,22,Power Tools,https://source.unsplash.com/800x600/?circular%20saw,1,0
1,Generator for Rent - Excellent Condition,Well-maintained generator available for rent. Suitable for home or professional use. Daily price: 13. Delivery possible. Contact to reserve.,45,Other,https://source.unsplash.com/800x600/?generator,1,0
19,Leaf Blower for Rent - Excellent Condition,Well-maintained leaf blower available for rent. Suitable for home or professional use. Daily price: 30. Delivery possible. Contact to reserve.,57,Garden Tools,https://source.unsplash.com/800x600/?leaf%20blower,1,0
31,Leaf Blower for Rent - Excellent Condition,Well-maintained leaf blower available for rent. Suitable for home or professional use. Daily price: 38. Delivery possible. Contact to reserve.,27,Garden Tools,https://source.unsplash.com/800x600/?leaf%20blower,1,0
74,Unbelievable Deal on Paint Sprayer - Pay Only Shipping,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,0,Other,https://source.unsplash.com/800x600/?luxury%20watch,0,1
34,Air Compressor for Rent - Excellent Condition,Well-maintained air compressor available for rent. Suitable for home or professional use. Daily price: 86. Delivery possible. Contact to reserve.,18,Other,https://source.unsplash.com/800x600/?air%20compressor,1,0
91,Unbelievable Deal on Air Compressor - Pay Only Shipping,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,1,Other,https://source.unsplash.com/800x600/?bitcoin,0,1
5,Impact Wrench for Rent - Excellent Condition,Well-maintained impact wrench available for rent. Suitable for home or professional use. Daily price: 39. Delivery possible. Contact to reserve.,74,Power Tools,https://source.unsplash.com/800x600/?impact%20wrench,1,0
77,Chisel Set for rent - contact to claim your prize,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,114,Hand Tools,https://source.unsplash.com/800x600/?iphone,0,1
78,Win an Luxury Watch when you rent this circular saw,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,1,Power Tools,https://source.unsplash.com/800x600/?airpods,0,1
13,Concrete Saw for Rent - Excellent Condition,Well-maintained concrete saw available for rent. Suitable for home or professional use. Daily price: 78. Delivery possible. Contact to reserve.,25,Power Tools,https://source.unsplash.com/800x600/?concrete%20saw,1,0
32,Floor Scrubber for Rent - Excellent Condition,Well-maintained floor scrubber available for rent. Suitable for home or professional use. Daily price: 21. Delivery possible. Contact to reserve.,16,Cleaning Equipment,https://source.unsplash.com/800x600/?floor%20scrubber,1,0
56,Earn money fast! Rent this hedge trimmer and get paid,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Garden Tools,https://source.unsplash.com/800x600/?bitcoin,0,1
89,Chainsaw for rent - contact to claim your prize,Send email to claim this offer. Limited time only! Pictures may not match the actual item.,180,Power Tools,https://source.unsplash.com/800x600/?win,0,1
27,Chisel Set for Rent - Excellent Condition,Well-maintained chisel set available for rent. Suitable for home or professional use. Daily price: 73. Delivery possible. Contact to reserve.,60,Hand Tools,https://source.unsplash.com/800x600/?chisel%20set,1,0
43,Pliers for Rent - Excellent Condition,Well-maintained pliers available for rent. Suitable for home or professional use. Daily price: 30. Delivery possible. Contact to reserve.,79,Hand Tools,https://source.unsplash.com/800x600/?pliers,1,0
70,FREE GARDEN SHREDDER GIVEAWAY - Click to Claim,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Garden Tools,https://source.unsplash.com/800x600/?contest,0,1
16,Chisel Set for Rent - Excellent Condition,Well-maintained chisel set available for rent. Suitable for home or professional use. Daily price: 18. Delivery possible. Contact to reserve.,15,Hand Tools,https://source.unsplash.com/800x600/?chisel%20set,1,0
41,Tape Measure for Rent - Excellent Condition,Well-maintained tape measure available for rent. Suitable for home or professional use. Daily price: 23. Delivery possible. Contact to reserve.,90,Hand Tools,https://source.unsplash.com/800x600/?tape%20measure,1,0
97,Unbelievable Deal on Impact Wrench - Pay Only Shipping,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Power Tools,https://source.unsplash.com/800x600/?iphone,0,1
10,Scaffold for Rent - Excellent Condition,Well-maintained scaffold available for rent. Suitable for home or professional use. Daily price: 37. Delivery possible. Contact to reserve.,53,Construction,https://source.unsplash.com/800x600/?scaffold,1,0
73,FREE PAINT SPRAYER GIVEAWAY - Click to Claim,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Other,https://source.unsplash.com/800x600/?free%20money,0,1
12,Jackhammer for Rent - Excellent Condition,Well-maintained jackhammer available for rent. Suitable for home or professional use. Daily price: 87. Delivery possible. Contact to reserve.,43,Construction,https://source.unsplash.com/800x600/?jackhammer,1,0
48,Angle Grinder for Rent - Excellent Condition,Well-maintained angle grinder available for rent. Suitable for home or professional use. Daily price: 26. Delivery possible. Contact to reserve.,70,Power Tools,https://source.unsplash.com/800x600/?angle%20grinder,1,0
86,FREE GARDEN SHREDDER GIVEAWAY - Click to Claim,Click here to claim this offer. Limited time only! Pictures may not match the actual item.,0,Garden Tools,https://source.unsplash.com/800x600/?airpods,0,1
29,Screwdriver Set for Rent - Excellent Condition,Well-maintained screwdriver set available for rent. Suitable for home or professional use. Daily price: 81. Delivery possible. Contact to reserve.,78,Hand Tools,https://source.unsplash.com/800x600/?screwdriver%20set,1,0
94,Win an iPad when you rent this rotary hammer,Contact now to claim this offer. Limited time only! Pictures may not match the actual item.,153,Power Tools,https://source.unsplash.com/800x600/?luxury%20watch,0,1
